mode,V_start,V_end,window_V,n_points,n_features,n_components,R2_LOO,RMSE_LOO,composite,V_selected
both,0.5,0.76,0.26,5,10,2,0.91502,0.41865,0.9118,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6296), np.float64(0.6995), np.float64(0.7595)]"
both,0.45,0.76,0.31,2,4,2,0.915,0.41871,0.91178,"[np.float64(0.4496), np.float64(0.7595)]"
both,0.55,0.79,0.24,3,6,1,0.91491,0.41893,0.9117,"[np.float64(0.5496), np.float64(0.6695), np.float64(0.7894)]"
both,0.55,0.8,0.25,6,12,2,0.91481,0.41916,0.91163,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995), np.float64(0.7495), np.float64(0.7994)]"
both,0.45,0.79,0.34,5,10,2,0.91441,0.42014,0.9113,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6196), np.float64(0.7095), np.float64(0.7894)]"
both,0.5,0.79,0.29,6,12,2,0.91437,0.42026,0.91126,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6695), np.float64(0.7295), np.float64(0.7894)]"
I,0.5,0.72,0.22,2,2,2,0.91433,0.42036,0.91123,"[np.float64(0.4996), np.float64(0.7195)]"
I,0.5,0.73,0.23,4,4,2,0.91422,0.42061,0.91115,"[np.float64(0.4996), np.float64(0.5796), np.float64(0.6495), np.float64(0.7295)]"
both,0.45,0.8,0.35,6,12,2,0.91417,0.42073,0.91111,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6595), np.float64(0.7295), np.float64(0.7994)]"
both,0.4,0.7,0.3,5,10,3,0.91413,0.42084,0.91107,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5496), np.float64(0.6196), np.float64(0.6995)]"
I,0.45,0.72,0.27,2,2,2,0.9137,0.4219,0.91071,"[np.float64(0.4496), np.float64(0.7195)]"
both,0.45,0.8,0.35,5,10,2,0.91365,0.42201,0.91068,"[np.float64(0.4496), np.float64(0.5396), np.float64(0.6296), np.float64(0.7095), np.float64(0.7994)]"
both,0.45,0.69,0.24,3,6,2,0.91354,0.4223,0.91058,"[np.float64(0.4496), np.float64(0.5696), np.float64(0.6895)]"
both,0.5,0.78,0.28,6,12,2,0.9135,0.42239,0.91055,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6096), np.float64(0.6695), np.float64(0.7195), np.float64(0.7795)]"
I,0.55,0.77,0.22,6,6,2,0.91337,0.42269,0.91045,"[np.float64(0.5496), np.float64(0.5896), np.float64(0.6396), np.float64(0.6795), np.float64(0.7295), np.float64(0.7695)]"
both,0.55,0.8,0.25,2,4,3,0.91336,0.42273,0.91044,"[np.float64(0.5496), np.float64(0.7994)]"
both,0.5,0.7,0.2,3,6,2,0.91335,0.42276,0.91043,"[np.float64(0.4996), np.float64(0.5996), np.float64(0.6995)]"
both,0.5,0.8,0.3,5,10,2,0.9133,0.42287,0.91039,"[np.float64(0.4996), np.float64(0.5796), np.float64(0.6495), np.float64(0.7195), np.float64(0.7994)]"
I,0.5,0.75,0.25,3,3,2,0.91325,0.42299,0.91035,"[np.float64(0.4996), np.float64(0.6196), np.float64(0.7495)]"
both,0.5,0.8,0.3,4,8,2,0.91305,0.42347,0.91019,"[np.float64(0.4996), np.float64(0.5996), np.float64(0.6995), np.float64(0.7994)]"
both,0.4,0.79,0.39,2,4,3,0.91288,0.4239,0.91005,"[np.float64(0.3996), np.float64(0.7894)]"
both,0.5,0.75,0.25,3,6,2,0.91284,0.424,0.91001,"[np.float64(0.4996), np.float64(0.6196), np.float64(0.7495)]"
both,0.45,0.77,0.32,2,4,2,0.91263,0.42449,0.90985,"[np.float64(0.4496), np.float64(0.7695)]"
I,0.5,0.73,0.23,5,5,2,0.91257,0.42464,0.9098,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6695), np.float64(0.7295)]"
both,0.45,0.76,0.31,6,12,2,0.91209,0.42581,0.90941,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6396), np.float64(0.6995), np.float64(0.7595)]"
both,0.4,0.69,0.29,4,8,2,0.91208,0.42585,0.90939,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5896), np.float64(0.6895)]"
I,0.4,0.74,0.34,4,4,3,0.91207,0.42586,0.90939,"[np.float64(0.3996), np.float64(0.5096), np.float64(0.6296), np.float64(0.7395)]"
both,0.55,0.78,0.23,6,12,2,0.91203,0.42596,0.90935,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6396), np.float64(0.6895), np.float64(0.7295), np.float64(0.7795)]"
both,0.55,0.8,0.25,3,6,2,0.91198,0.42608,0.90931,"[np.float64(0.5496), np.float64(0.6695), np.float64(0.7994)]"
both,0.45,0.75,0.3,2,4,2,0.91185,0.4264,0.9092,"[np.float64(0.4496), np.float64(0.7495)]"
both,0.4,0.69,0.29,3,6,2,0.91179,0.42654,0.90916,"[np.float64(0.3996), np.float64(0.5396), np.float64(0.6895)]"
both,0.45,0.75,0.3,3,6,3,0.91167,0.42682,0.90907,"[np.float64(0.4496), np.float64(0.5996), np.float64(0.7495)]"
I,0.5,0.73,0.23,6,6,2,0.91156,0.42709,0.90897,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5896), np.float64(0.6396), np.float64(0.6795), np.float64(0.7295)]"
both,0.4,0.74,0.34,2,4,3,0.9114,0.42747,0.90884,"[np.float64(0.3996), np.float64(0.7395)]"
both,0.55,0.79,0.24,5,10,2,0.91131,0.42769,0.90877,"[np.float64(0.5496), np.float64(0.6096), np.float64(0.6695), np.float64(0.7295), np.float64(0.7894)]"
