V_start,V_end,window_V,n_points,n_components,R2_LOO,RMSE_LOO,composite,V_selected
0.45,0.79,0.34,5,2,0.86788,0.52202,0.87433,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6196), np.float64(0.7095), np.float64(0.7894)]"
0.4,0.73,0.33,4,3,0.86775,0.52228,0.87422,"[np.float64(0.3996), np.float64(0.5096), np.float64(0.6196), np.float64(0.7295)]"
0.45,0.8,0.35,6,3,0.86707,0.52361,0.8737,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6595), np.float64(0.7295), np.float64(0.7994)]"
0.4,0.79,0.39,6,2,0.86693,0.52389,0.87359,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6296), np.float64(0.7095), np.float64(0.7894)]"
0.45,0.72,0.27,5,2,0.86609,0.52553,0.87294,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6495), np.float64(0.7195)]"
0.45,0.71,0.26,3,2,0.86008,0.53719,0.8683,"[np.float64(0.4496), np.float64(0.5796), np.float64(0.7095)]"
0.45,0.77,0.32,2,2,0.85969,0.53795,0.86799,"[np.float64(0.4496), np.float64(0.7695)]"
0.4,0.78,0.38,4,2,0.85726,0.5426,0.86612,"[np.float64(0.3996), np.float64(0.5296), np.float64(0.6495), np.float64(0.7795)]"
0.4,0.8,0.4,5,5,0.85469,0.54745,0.86415,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5996), np.float64(0.6995), np.float64(0.7994)]"
0.45,0.71,0.26,5,2,0.85321,0.55024,0.86302,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5796), np.float64(0.6495), np.float64(0.7095)]"
0.4,0.8,0.4,6,2,0.85229,0.55196,0.86231,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6396), np.float64(0.7195), np.float64(0.7994)]"
0.45,0.71,0.26,6,2,0.85154,0.55335,0.86174,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.6096), np.float64(0.6595), np.float64(0.7095)]"
0.5,0.78,0.28,3,2,0.85018,0.55588,0.8607,"[np.float64(0.4996), np.float64(0.6396), np.float64(0.7795)]"
0.45,0.71,0.26,4,2,0.85008,0.55607,0.86062,"[np.float64(0.4496), np.float64(0.5396), np.float64(0.6196), np.float64(0.7095)]"
0.45,0.79,0.34,4,2,0.84934,0.55743,0.86006,"[np.float64(0.4496), np.float64(0.5596), np.float64(0.6795), np.float64(0.7894)]"
0.55,0.77,0.22,2,2,0.84881,0.55842,0.85965,"[np.float64(0.5496), np.float64(0.7695)]"
0.45,0.8,0.35,5,2,0.84711,0.56155,0.85835,"[np.float64(0.4496), np.float64(0.5396), np.float64(0.6296), np.float64(0.7095), np.float64(0.7994)]"
0.4,0.73,0.33,5,3,0.84672,0.56225,0.85806,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6495), np.float64(0.7295)]"
0.45,0.68,0.23,2,2,0.84652,0.56262,0.8579,"[np.float64(0.4496), np.float64(0.6795)]"
0.5,0.77,0.27,2,2,0.84622,0.56318,0.85767,"[np.float64(0.4996), np.float64(0.7695)]"
0.4,0.78,0.38,3,2,0.84523,0.56499,0.85692,"[np.float64(0.3996), np.float64(0.5896), np.float64(0.7795)]"
0.45,0.78,0.33,3,2,0.84492,0.56556,0.85668,"[np.float64(0.4496), np.float64(0.6096), np.float64(0.7795)]"
0.4,0.73,0.33,6,3,0.84406,0.56711,0.85603,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5296), np.float64(0.5996), np.float64(0.6595), np.float64(0.7295)]"
0.4,0.69,0.29,2,2,0.84248,0.56998,0.85482,"[np.float64(0.3996), np.float64(0.6895)]"
0.4,0.79,0.39,4,3,0.84215,0.57058,0.85457,"[np.float64(0.3996), np.float64(0.5296), np.float64(0.6595), np.float64(0.7894)]"
0.45,0.7,0.25,3,2,0.84158,0.57162,0.85414,"[np.float64(0.4496), np.float64(0.5696), np.float64(0.6995)]"
0.5,0.8,0.3,3,3,0.83602,0.58156,0.84992,"[np.float64(0.4996), np.float64(0.6495), np.float64(0.7994)]"
0.45,0.7,0.25,4,2,0.83482,0.58367,0.84901,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6196), np.float64(0.6995)]"
0.45,0.7,0.25,5,2,0.83298,0.58692,0.84762,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6396), np.float64(0.6995)]"
0.4,0.72,0.32,3,2,0.83166,0.58924,0.84662,"[np.float64(0.3996), np.float64(0.5596), np.float64(0.7195)]"
0.45,0.7,0.25,6,2,0.83008,0.592,0.84542,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995)]"
0.5,0.79,0.29,3,3,0.82966,0.59273,0.84511,"[np.float64(0.4996), np.float64(0.6396), np.float64(0.7894)]"
0.4,0.6,0.2,4,4,0.82683,0.59763,0.84298,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5296), np.float64(0.5996)]"
0.45,0.67,0.22,2,2,0.82034,0.60873,0.83809,"[np.float64(0.4496), np.float64(0.6695)]"
0.4,0.72,0.32,4,2,0.81769,0.6132,0.83611,"[np.float64(0.3996), np.float64(0.5096), np.float64(0.6096), np.float64(0.7195)]"
0.4,0.72,0.32,5,2,0.81611,0.61585,0.83492,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6396), np.float64(0.7195)]"
0.45,0.69,0.24,3,2,0.81528,0.61724,0.8343,"[np.float64(0.4496), np.float64(0.5696), np.float64(0.6895)]"
0.45,0.8,0.35,4,2,0.81329,0.62055,0.83282,"[np.float64(0.4496), np.float64(0.5696), np.float64(0.6795), np.float64(0.7994)]"
0.45,0.79,0.34,3,2,0.80988,0.62619,0.83027,"[np.float64(0.4496), np.float64(0.6196), np.float64(0.7894)]"
